,precision,recall,f1-score,support
0,0.875,0.011128775834658187,0.021978021978021976,629.0
1,0.5,0.001310615989515072,0.00261437908496732,763.0
2,0.9373549883990719,0.5880640465793304,0.7227191413237927,687.0
3,0.09803921568627451,0.008090614886731391,0.014947683109118086,618.0
4,0.2857142857142857,0.005502063273727648,0.010796221322537112,727.0
5,1.0,0.11253196930946291,0.20229885057471264,782.0
6,0.475,0.03411131059245961,0.06365159128978225,557.0
7,0.0,0.0,0.0,529.0
8,0.3333333333333333,0.006299212598425197,0.012364760432766615,635.0
9,0.0,0.0,0.0,545.0
10,0.7029702970297029,0.13099630996309963,0.2208398133748056,542.0
11,0.0,0.0,0.0,786.0
12,0.0,0.0,0.0,584.0
13,0.0,0.0,0.0,533.0
14,0.0,0.0,0.0,583.0
15,0.7368421052631579,0.29015544041450775,0.41635687732342,772.0
16,0.9258064516129032,0.3674775928297055,0.5261228230980752,781.0
17,0.941320293398533,0.49295774647887325,0.6470588235294118,781.0
18,0.7795527156549521,0.3057644110275689,0.43924392439243926,798.0
19,0.44594594594594594,0.23655913978494625,0.3091334894613583,837.0
20,1.0,0.5380774032459426,0.6996753246753247,801.0
21,0.9912280701754386,0.8725868725868726,0.9281314168377824,777.0
22,0.7008456659619451,0.8781456953642384,0.7795414462081128,755.0
23,0.8945827232796486,0.77735368956743,0.831858407079646,786.0
24,0.8161993769470405,0.6814044213263979,0.742735648476258,769.0
25,0.22340994120791022,0.7641681901279708,0.34574028122415223,547.0
26,0.4968798751950078,0.7835178351783518,0.6081145584725537,813.0
27,0.971830985915493,0.22330097087378642,0.3631578947368422,618.0
28,0.8097560975609757,0.2618296529968454,0.3957091775923719,634.0
29,0.8666666666666667,0.3644859813084112,0.5131578947368421,642.0
30,0.9971671388101983,0.5207100591715976,0.6841593780369292,676.0
31,0.3037037037037037,0.05525606469002695,0.09350057012542758,742.0
32,0.558648111332008,0.3490683229813665,0.42966360856269115,805.0
33,0.43432671081677704,0.9974651457541192,0.6051518646674355,789.0
34,0.30131004366812225,0.8821022727272727,0.44918625678119345,704.0
35,0.5763157894736842,0.3124108416547789,0.4051803885291397,701.0
36,0.16638078902229847,0.13197278911564625,0.1471927162367223,735.0
37,0.1506849315068493,0.118491921005386,0.13266331658291455,557.0
38,0.5403111739745403,0.5464949928469242,0.5433854907539118,699.0
39,0.4921161825726141,0.989983305509182,0.6574279379157427,599.0
40,0.42248995983935744,0.834920634920635,0.5610666666666667,630.0
41,0.9610705596107056,1.0,0.9801488833746899,790.0
42,0.5521531100478468,0.9897084048027445,0.7088452088452089,583.0
43,0.528196981731533,0.8322903629536921,0.6462585034013605,799.0
44,0.7937584803256446,1.0,0.8850226928895613,585.0
45,0.456634118322803,0.9949937421777222,0.6259842519685038,799.0
46,0.25083500334001335,0.9579081632653061,0.397564849126522,784.0
47,0.35805626598465473,1.0,0.5273069679849341,700.0
48,0.2679830747531735,0.3247863247863248,0.29366306027820716,585.0
49,0.35714285714285715,0.9949302915082383,0.5256109809173083,789.0
50,0.27087719298245616,0.9974160206718347,0.42604856512141287,774.0
accuracy,0.48018963765662037,0.48018963765662037,0.48018963765662037,0.48018963765662037
macro avg,0.5205576708609829,0.4620927376996482,0.40280354135493285,35436.0
weighted avg,0.5365771927224485,0.48018963765662037,0.4194756506737317,35436.0
